ID,Feature,Type,English Text,Indonesian Text,File Path,Notes / Context,Status,Revised English,Revised Indonesian,PIC
25,Onboarding,Option,Founder,Founder,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,founder,Backend
26,Onboarding,Sub-option,I'm building something and looking for people,Saya sedang membangun sesuatu dan mencari orang,src/features/onboarding/mock/common-steps.ts,,INDO,"ini part mana ya ? (mending lngsung kayak mockup) 

How do you want to use ConnectX?
This shapes your entire experience


I'm a Builder

Founder, co-founder, or team member


I represent a Startup

Building a team or hiring co-founders

",,Backend
27,Onboarding,Option,Co-Founder,Co-Founder,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
28,Onboarding,Sub-option,I want to join a startup as a co-founder,Saya ingin bergabung sebagai co-founder,src/features/onboarding/mock/common-steps.ts,,INDO," ini part mana ya ? (mending lngsung kayak mockup) 

How do you want to use ConnectX?
This shapes your entire experience


I'm a Builder

Founder, co-founder, or team member


I represent a Startup

Building a team or hiring co-founders

",,Backend
29,Onboarding,Option,Team Member,Anggota Tim,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
30,Onboarding,Sub-option,I want to join a startup team,Saya ingin bergabung di tim startup,src/features/onboarding/mock/common-steps.ts,,INDO,"ini part mana ya ? (mending lngsung kayak mockup) 

How do you want to use ConnectX?
This shapes your entire experience


I'm a Builder

Founder, co-founder, or team member


I represent a Startup

Building a team or hiring co-founders

",,Backend
31,Onboarding,Heading,What are you looking for?,Apa yang sedang kamu cari?,src/features/onboarding/mock/common-steps.ts,founderGoalStep title,INDO,v,v,Backend
32,Onboarding,Subtitle,Pick the most urgent hiring need for your startup,Pilih kebutuhan rekrutmen yang paling mendesak untuk startupmu,src/features/onboarding/mock/common-steps.ts,,INDO,v,Pilih kebutuhan tim paling urgent untuk startup kamu,Backend
33,Onboarding,Option,Co-Founder,Co-Founder,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
34,Onboarding,Sub-option,Find someone to build with from day one,Temukan partner untuk membangun bersama sejak awal,src/features/onboarding/mock/common-steps.ts,,INDO,v,Cari orang buat bangun bareng startupmu dari hari pertama,Backend
35,Onboarding,Option,Team Members,Anggota Tim,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
36,Onboarding,Sub-option,Recruit early members for your startup,Rekrut anggota awal untuk startupmu,src/features/onboarding/mock/common-steps.ts,,INDO,v,Rekrut tim awal untuk startup kamu,Backend
37,Onboarding,Option,Both,Keduanya,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
38,Onboarding,Sub-option,I'm open to co-founders and team members,Saya terbuka untuk co-founder dan anggota tim,src/features/onboarding/mock/common-steps.ts,,INDO,v,terbuka untuk co-founder dan anggota tim,Backend
39,Onboarding,Heading,What kind of co-founder do you need?,Co-founder seperti apa yang kamu butuhkan?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
40,Onboarding,Subtitle,Select all that apply,Pilih semua yang sesuai,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
41,Onboarding,Option,Technical Co-Founder,Co-Founder Teknis,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
42,Onboarding,Sub-option,Engineering & architecture,Engineering & arsitektur,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
43,Onboarding,Option,Business Co-Founder,Co-Founder Bisnis,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
44,Onboarding,Sub-option,Strategy & operations,Strategi & operasional,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
45,Onboarding,Option,Product Co-Founder,Co-Founder Produk,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
46,Onboarding,Sub-option,Product vision & design,Visi produk & desain,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
47,Onboarding,Option,Growth Co-Founder,Co-Founder Growth,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
48,Onboarding,Sub-option,Marketing & distribution,Marketing & distribusi,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
49,Onboarding,Option,AI / Data Co-Founder,Co-Founder AI / Data,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
50,Onboarding,Sub-option,AI systems & data intelligence,Sistem AI & data intelligence,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
51,Onboarding,Option,Operations Co-Founder,Co-Founder Operasional,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
52,Onboarding,Sub-option,Execution & scaling operations,Eksekusi & scaling operasional,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
53,Onboarding,Option,Finance Co-Founder,Co-Founder Keuangan,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
54,Onboarding,Sub-option,Fundraising & financial strategy,Fundraising & strategi keuangan,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
55,Onboarding,Option,Partnerships Co-Founder,Co-Founder Partnership,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
56,Onboarding,Sub-option,Strategic partnerships & business growth,Partnership strategis & pertumbuhan bisnis,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
57,Onboarding,Heading,What type of co-founder are you?,Kamu co-founder tipe apa?,src/features/onboarding/mock/common-steps.ts,,INDO,v,Kamu tipe co-founder yang seperti apa?,Backend
58,Onboarding,Subtitle,Pick the area you can own from day one.,Pilih area yang bisa kamu pegang dari hari pertama.,src/features/onboarding/mock/common-steps.ts,,INDO,v,Pilih peran yang bisa kamu kerjakan dari awal,Backend
59,Onboarding,Section,Your co-founder specialty,Spesialisasi co-founder kamu,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
60,Onboarding,Option,Technical Co-Founder,Co-Founder Teknis,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
61,Onboarding,Sub-option,I build the product & tech,Saya membangun produk & teknologi,src/features/onboarding/mock/common-steps.ts,,INDO,v,Aku membangun produk & teknologi,Backend
62,Onboarding,Option,Product Co-Founder,Co-Founder Produk,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
63,Onboarding,Sub-option,I lead product & design,Saya memimpin produk & desain,src/features/onboarding/mock/common-steps.ts,,INDO,v,aku memimpin produk & Desain ,Backend
64,Onboarding,Option,Business Co-Founder,Co-Founder Bisnis,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
65,Onboarding,Sub-option,I handle strategy & ops,Saya menangani strategi & operasional,src/features/onboarding/mock/common-steps.ts,,INDO,v,Aku menangani strategi & operasional,Backend
66,Onboarding,Option,Growth Co-Founder,Co-Founder Growth,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
67,Onboarding,Sub-option,I drive marketing & growth,Saya menggerakkan marketing & growth,src/features/onboarding/mock/common-steps.ts,,INDO,v,Aku menggerakkan marketing & growth,Backend
68,Onboarding,Option,AI / Data Co-Founder,Co-Founder AI / Data,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
69,Onboarding,Sub-option,"I build AI, data & intelligence","Saya membangun AI, data & intelligence",src/features/onboarding/mock/common-steps.ts,,INDO,v,"Aku membangun AI, data & intelligence",Backend
70,Onboarding,Option,Operations Co-Founder,Co-Founder Operasional,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
71,Onboarding,Sub-option,I execute & scale operations,Saya mengeksekusi & menskalakan operasional,src/features/onboarding/mock/common-steps.ts,,INDO,v,Aku mengeksekusi & menskalakan operasional,Backend
72,Onboarding,Option,Finance Co-Founder,Co-Founder Keuangan,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
73,Onboarding,Sub-option,I manage fundraising & finance,Saya mengelola fundraising & keuangan,src/features/onboarding/mock/common-steps.ts,,INDO,v,Aku mengelola fundraising & keuangan,Backend
74,Onboarding,Option,Partnerships Co-Founder,Co-Founder Partnership,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
75,Onboarding,Sub-option,I build deals & partnerships,Saya membangun deal & partnership,src/features/onboarding/mock/common-steps.ts,,INDO,v,Aku membangun deal & partnership,Backend
76,Onboarding,Heading,What roles do you need?,Peran apa yang kamu butuhkan?,src/features/onboarding/mock/common-steps.ts,,INDO,v,peran apa yang saat ini kamu butuhkan?,Backend
77,Onboarding,Subtitle,Pick the roles you want to add to your team.,Pilih peran yang ingin kamu tambahkan ke tim.,src/features/onboarding/mock/common-steps.ts,,INDO,v,Pilih role yang mau kamu tambahin ke tim kamu,Backend
78,Onboarding,Section,Who you are hiring,Siapa yang kamu cari,src/features/onboarding/mock/common-steps.ts,,INDO,v,Siapa yang lagi kamu cari?,Backend
79,Onboarding,Placeholder,Search roles,Cari peran,src/features/onboarding/mock/common-steps.ts,,INDO,v,cari role,Backend
80,Onboarding,Heading,Tell us about your startup,Ceritakan tentang startupmu,src/features/onboarding/mock/common-steps.ts,,INDO,v,Ceritakan tentang startup kamu secara singkat,Backend
81,Onboarding,Subtitle,Give us a quick introduction to your company.,Kenalkan kami dengan startupmu secara singkat.,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
82,Onboarding,Section,Startup basics,Data dasar startup,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
83,Onboarding,Label,What's your startup called?,Apa nama startupmu?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
84,Onboarding,Placeholder,Startup name,Nama startup,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
85,Onboarding,Label,Tagline,Tagline,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
86,Onboarding,Placeholder,e.g. The fastest way to find co-founders,mis. Cara tercepat mencari co-founder,src/features/onboarding/mock/common-steps.ts,,INDO,v,cont: Cara paling cepat buat cari co-founder,Backend
87,Onboarding,Label,Stage,Tahap,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
88,Onboarding,Option,Idea,Ide,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
89,Onboarding,Option,MVP,MVP,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
90,Onboarding,Option,Live,Sudah Launching,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
91,Onboarding,Option,Scale (Seed / Series A),Scale (Seed / Series A),src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
92,Onboarding,Heading,What are you building?,Apa yang sedang kamu bangun?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
93,Onboarding,Section,Your vision,Visi kamu,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
94,Onboarding,Label,Problem you're solving,Masalah yang kamu selesaikan,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
95,Onboarding,Placeholder,"Who hurts, and why?","Siapa yang kesulitan, dan kenapa?",src/features/onboarding/mock/common-steps.ts,,INDO,ini part mana ya ? kayaknya aku gk pernah nulis ini,Siapa yang merasakan kesusahannya dan kenapa?,Backend
96,Onboarding,Label,Your solution,Solusimu,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
97,Onboarding,Placeholder,How does your product solve it?,Bagaimana produkmu menyelesaikannya?,src/features/onboarding/mock/common-steps.ts,,INDO,v,Bagaimana produkmu bisa mengatasi masalah ini?,Backend
98,Onboarding,Label,Target users,Target pengguna,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
99,Onboarding,Placeholder,Describe the people you are building for,Siapa target penggunamu?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
100,Onboarding,Heading,Which industries are you in?,Industri apa yang kamu geluti?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
101,Onboarding,Section,Your industry,Industri kamu,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
102,Onboarding,Subtitle,Pick up to 5 industries that describe your startup.,Pilih hingga 5 industri yang menggambarkan startupmu.,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
103,Onboarding,Placeholder,Search industries,Cari industri,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
104,Onboarding,Heading,What's your business model?,Apa model bisnismu?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
105,Onboarding,Section,Business model,Model bisnis,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
106,Onboarding,Subtitle,Pick the model that best describes how you make money.,Pilih model yang paling menggambarkan cara kamu menghasilkan pendapatan.,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
107,Onboarding,Placeholder,Search a business model,Cari model bisnis,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
108,Onboarding,Heading,Your traction so far,Traction kamu sejauh ini,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
109,Onboarding,Section,Traction & milestones,Traction & milestones,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
110,Onboarding,Label,Do you have a prototype?,Apakah kamu punya prototipe?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
111,Onboarding,Option,Yes,Ya,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
112,Onboarding,Option,No,Tidak,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
113,Onboarding,Label,Prototype link,Link prototipe,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
114,Onboarding,Placeholder,https://figma.com/...,https://figma.com/...,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
115,Onboarding,Label,Waitlist size,Ukuran waitlist,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
116,Onboarding,Label,Validation so far,Validasi sejauh ini,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
117,Onboarding,Placeholder,"Interviews, surveys, landing page tests...","Wawancara, survei, landing page...",src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
118,Onboarding,Label,Users,Pengguna,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
119,Onboarding,Label,Monthly active users,Monthly active users,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
120,Onboarding,Label,Revenue (if any),Pendapatan (jika ada),src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
121,Onboarding,Placeholder,e.g. $500 MRR,misalnya $500 MRR,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
122,Onboarding,Label,Growth rate,Growth rate,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
123,Onboarding,Placeholder,e.g. 20% MoM,misalnya 20% MoM,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
124,Onboarding,Label,MRR,MRR,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
125,Onboarding,Placeholder,"e.g. $5,000","misalnya $5,000",src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
126,Onboarding,Label,Users / customers,Pengguna / pelanggan,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
127,Onboarding,Label,Retention,Retention,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
128,Onboarding,Placeholder,e.g. 80% 3-month retention,misalnya retensi 80% di bulan ke-3,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
129,Onboarding,Label,"Key metrics (GMV, etc.)","Metrik utama (GMV, dll.)",src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
130,Onboarding,Placeholder,Anything else worth highlighting?,Hal lain yang penting disorot?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
131,Onboarding,Label,Funding raised,Pendanaan,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
132,Onboarding,Placeholder,e.g. $2M seed,misalnya $2M seed,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
133,Onboarding,Label,Investors (optional),Investor (opsional),src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
134,Onboarding,Placeholder,"e.g. East Ventures, Alpha JWC","misalnya East Ventures, Alpha JWC",src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
135,Onboarding,Label,Team size,Ukuran tim,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
136,Onboarding,Label,Revenue / ARR,Pendapatan / ARR,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
137,Onboarding,Placeholder,e.g. $1.2M ARR,misalnya $1.2M ARR,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
138,Onboarding,Heading,Where can people find you?,Di mana orang bisa menemukanmu?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
139,Onboarding,Section,Online presence,Online presence,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
140,Onboarding,Label,Website,Website,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
141,Onboarding,Placeholder,https://yourstartup.com,https://startupkamu.com,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
142,Onboarding,Label,LinkedIn,LinkedIn,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
143,Onboarding,Placeholder,https://linkedin.com/company/...,https://linkedin.com/company/...,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
144,Onboarding,Label,Twitter / X,Twitter / X,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
145,Onboarding,Label,Instagram,Instagram,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
146,Onboarding,Label,Pitch deck,Pitch deck,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
147,Onboarding,Helper,"Optional, your pitch deck ","Opsional, tapi founder lain suka lihat deck kamu.",src/features/onboarding/mock/common-steps.ts,,INDO,v,"Opsional, bisa share pitch deck kamu",Backend
148,Onboarding,Placeholder,https://pitch.com/...,https://pitch.com/...,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
149,Onboarding,Heading,How many founders are you?,Berapa jumlah foundermu?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
150,Onboarding,Section,Founder setup,Setup founder,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
151,Onboarding,Option,Solo Founder,Solo Founder,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
152,Onboarding,Sub-option,It's just me for now,Baru saya sendiri,src/features/onboarding/mock/common-steps.ts,,INDO,v,Aku saja,Backend
153,Onboarding,Option,2 Founders,2 Founder,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
154,Onboarding,Sub-option,Me and one co-founder,Saya dan satu co-founder,src/features/onboarding/mock/common-steps.ts,,INDO,v,Aku dan satu co-founder,Backend
155,Onboarding,Option,3+ Founders,3+ Founder,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
156,Onboarding,Sub-option,Three or more co-founders,Tiga atau lebih co-founder,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
157,Onboarding,Label,What roles are already covered?,Peran apa yang sudah ada?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
158,Onboarding,Option,Technical,Teknis,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
159,Onboarding,Option,Product,Produk,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
160,Onboarding,Option,Business,Bisnis,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
161,Onboarding,Option,Growth,Growth,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
162,Onboarding,Option,Operations,Operasional,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
163,Onboarding,Option,Finance,Keuangan,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
164,Onboarding,Option,Design,Design,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
165,Onboarding,Option,Other,Lainnya,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
166,Onboarding,Heading,Do you have a team beyond founders?,Apakah kamu punya tim di luar founder?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
167,Onboarding,Section,Team presence,Status tim,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
168,Onboarding,Option,Yes,Ya,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
169,Onboarding,Option,No,Tidak,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
170,Onboarding,Label,Team size,Ukuran tim,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
171,Onboarding,Option,1 to 3,1 sampai 3,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
172,Onboarding,Sub-option,Tight early team,Tim awal yang ramping,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
173,Onboarding,Option,4 to 10,4 sampai 10,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
174,Onboarding,Sub-option,Small but growing,Kecil tapi berkembang,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
175,Onboarding,Option,10+,10+,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
176,Onboarding,Sub-option,Already a real team,Sudah tim yang solid,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
177,Onboarding,Label,Team roles,Peran tim,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
178,Onboarding,Option,Engineering,Engineering,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
179,Onboarding,Option,Marketing,Marketing,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
180,Onboarding,Option,Sales,Sales,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
181,Onboarding,Option,Operations,Operasional,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
182,Onboarding,Option,Design,Design,src/features/onboarding/mock/common-steps.ts,,NOT INDO,v,v,Backend
183,Onboarding,Option,Finance,Keuangan,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
184,Onboarding,Option,Other,Lainnya,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
185,Onboarding,Heading,What skills are you missing?,Skill apa yang belum kamu punya?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
186,Onboarding,Section,Skills you need,Skill yang kamu butuhkan,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
187,Onboarding,Placeholder,Search skills,Cari skill,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
188,Onboarding,Heading,Are you open to working remotely?,Apakah kamu terbuka untuk kerja remote?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
189,Onboarding,Section,Work preferences,Preferensi kerja,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
190,Onboarding,Option,Yes,Ya,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
191,Onboarding,Option,No,Tidak,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
192,Onboarding,Heading,Are you willing to relocate?,Apakah kamu bersedia relokasi?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
193,Onboarding,Option,"Yes, if the fit is right","Ya, jika cocok",src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
194,Onboarding,Option,Maybe for the right role,Mungkin untuk peran yang tepat,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
195,Onboarding,Option,"No, I want to stay put","Tidak, saya ingin tetap di lokasi sekarang",src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
196,Onboarding,Heading,How much startup experience do you have?,Seberapa besar pengalaman startupmu?,src/features/onboarding/mock/common-steps.ts,,INDO,v,v,Backend
